Iteration 1, loss = 0.41549988
Iteration 2, loss = 0.39207089
Iteration 3, loss = 0.38771067
Iteration 4, loss = 0.38514452
Iteration 5, loss = 0.38313586
Iteration 6, loss = 0.38103983
Iteration 7, loss = 0.37859477
Iteration 8, loss = 0.37714876
Iteration 9, loss = 0.37475292
Iteration 10, loss = 0.37344339
Iteration 11, loss = 0.37210031
Iteration 12, loss = 0.36978742
Iteration 13, loss = 0.36974421
Iteration 14, loss = 0.36903060
Iteration 15, loss = 0.36787012
Iteration 16, loss = 0.36762209
Iteration 17, loss = 0.36615933
Iteration 18, loss = 0.36594952
Iteration 19, loss = 0.36514250
Iteration 20, loss = 0.36510551
Iteration 21, loss = 0.36469376
Iteration 22, loss = 0.36386339
Iteration 23, loss = 0.36239737
Iteration 24, loss = 0.36224314
Iteration 25, loss = 0.36233941
Iteration 26, loss = 0.36149954
Iteration 27, loss = 0.36163248
Iteration 28, loss = 0.36072053
Iteration 29, loss = 0.36072907
Iteration 30, loss = 0.36066623
Iteration 31, loss = 0.35971169
Iteration 32, loss = 0.35991730
Iteration 33, loss = 0.35935615
Iteration 34, loss = 0.35913424
Iteration 35, loss = 0.35789289
Iteration 36, loss = 0.35870748
Iteration 37, loss = 0.35775399
Iteration 38, loss = 0.35726374
Iteration 39, loss = 0.35692990
Iteration 40, loss = 0.35659851
Iteration 41, loss = 0.35645647
Iteration 42, loss = 0.35642918
Iteration 43, loss = 0.35611987
Iteration 44, loss = 0.35576877
Iteration 45, loss = 0.35644920
Iteration 46, loss = 0.35471282
Iteration 47, loss = 0.35438959
Iteration 48, loss = 0.35400070
Iteration 49, loss = 0.35340011
Iteration 50, loss = 0.35377253
Iteration 51, loss = 0.35292882
Iteration 52, loss = 0.35338735
Iteration 53, loss = 0.35209744
Iteration 54, loss = 0.35225743
Iteration 55, loss = 0.35164004
Iteration 56, loss = 0.35219127
Iteration 57, loss = 0.35138912
Iteration 58, loss = 0.35126857
Iteration 59, loss = 0.35065210
Iteration 60, loss = 0.35042091
Iteration 61, loss = 0.34951317
Iteration 62, loss = 0.35029514
Iteration 63, loss = 0.34920502
Iteration 64, loss = 0.34887435
Iteration 65, loss = 0.34801744
Iteration 66, loss = 0.34818674
Iteration 67, loss = 0.34802019
Iteration 68, loss = 0.34744002
Iteration 69, loss = 0.34722199
Iteration 70, loss = 0.34729074
Iteration 71, loss = 0.34667372
Iteration 72, loss = 0.34605502
Iteration 73, loss = 0.34626081
Iteration 74, loss = 0.34707306
Iteration 75, loss = 0.34569057
Iteration 76, loss = 0.34527199
Iteration 77, loss = 0.34525415
Iteration 78, loss = 0.34512439
Iteration 79, loss = 0.34523961
Iteration 80, loss = 0.34382830
Iteration 81, loss = 0.34477338
Iteration 82, loss = 0.34369274
Iteration 83, loss = 0.34311782
Iteration 84, loss = 0.34318053
Iteration 85, loss = 0.34308089
Iteration 86, loss = 0.34184365
Iteration 87, loss = 0.34171000
Iteration 88, loss = 0.34189819
Iteration 89, loss = 0.34165334
